z(m),CH2CH3(S),CH3(S),H(S),CH2(S),CHCH3(S),CH2CH2(S),CH(S),CCH3(S),CHCH2(S),C(S),CCH2(S),CHCH(S),CCH(S),CC(S),CH4(S),PT(S)
1.000000e-06, 1.838660e-07, 3.399279e-10, 3.946182e-04, 5.103016e-08, 3.911849e-11, 3.148061e-09, 2.742284e-01, 4.210028e-03, 1.287853e-07, 5.886434e-01, 1.512531e-02, 5.958060e-05, 1.676084e-05, 3.986767e-06, 1.734132e-12, 1.173176e-01
1.450000e-06, 1.735339e-07, 3.425778e-10, 4.093414e-04, 5.956339e-08, 4.383487e-11, 3.714986e-09, 2.931304e-01, 4.367513e-03, 1.339844e-07, 5.761749e-01, 1.438172e-02, 7.195821e-05, 1.846134e-05, 4.021076e-06, 2.277297e-12, 1.114412e-01
1.900000e-06, 1.657440e-07, 3.481165e-10, 4.209635e-04, 6.707668e-08, 4.827071e-11, 4.204132e-09, 3.082528e-01, 4.525467e-03, 1.391534e-07, 5.657537e-01, 1.392458e-02, 8.306711e-05, 1.985101e-05, 4.037281e-06, 2.816087e-12, 1.070152e-01
2.350000e-06, 1.595001e-07, 3.549832e-10, 4.304703e-04, 7.384647e-08, 5.251083e-11, 4.636383e-09, 3.208726e-01, 4.681423e-03, 1.442304e-07, 5.568026e-01, 1.362707e-02, 9.324580e-05, 2.103416e-05, 4.044640e-06, 3.354915e-12, 1.034671e-01
2.800000e-06, 1.542957e-07, 3.624811e-10, 4.384422e-04, 8.004117e-08, 5.660456e-11, 5.024695e-09, 3.317039e-01, 4.834566e-03, 1.491983e-07, 5.489581e-01, 1.342822e-02, 1.027011e-04, 2.206908e-05, 4.047240e-06, 3.895916e-12, 1.005076e-01
3.250000e-06, 1.498386e-07, 3.702613e-10, 4.452516e-04, 8.577293e-08, 6.058334e-11, 5.377789e-09, 3.411892e-01, 4.984664e-03, 1.540548e-07, 5.419768e-01, 1.329473e-02, 1.115709e-04, 2.299188e-05, 4.047121e-06, 4.440183e-12, 9.797035e-02
3.700000e-06, 1.459449e-07, 3.781353e-10, 4.511520e-04, 9.112122e-08, 6.446861e-11, 5.701879e-09, 3.496231e-01, 5.131722e-03, 1.588035e-07, 5.356881e-01, 1.320672e-02, 1.199530e-04, 2.382657e-05, 4.045386e-06, 4.988276e-12, 9.575104e-02
4.150000e-06, 1.424914e-07, 3.859970e-10, 4.563241e-04, 9.614491e-08, 6.827567e-11, 6.001583e-09, 3.572118e-01, 5.275837e-03, 1.634497e-07, 5.299676e-01, 1.315157e-02, 1.279197e-04, 2.459000e-05, 4.042672e-06, 5.540463e-12, 9.377987e-02
4.600000e-06, 1.393913e-07, 3.937849e-10, 4.609010e-04, 1.008892e-07, 7.201588e-11, 6.280449e-09, 3.641061e-01, 5.417146e-03, 1.679994e-07, 5.247218e-01, 1.312083e-02, 1.355267e-04, 2.529443e-05, 4.039361e-06, 6.096844e-12, 9.200789e-02
5.050000e-06, 1.365814e-07, 4.014634e-10, 4.649838e-04, 1.053895e-07, 7.569797e-11, 6.541270e-09, 3.704193e-01, 5.555794e-03, 1.724585e-07, 5.198787e-01, 1.310866e-02, 1.428178e-04, 2.594914e-05, 4.035692e-06, 6.657423e-12, 9.039939e-02
5.500000e-06, 1.340138e-07, 4.090120e-10, 4.686507e-04, 1.096747e-07, 7.932876e-11, 6.786290e-09, 3.762389e-01, 5.691927e-03, 1.768325e-07, 5.153813e-01, 1.311087e-02, 1.498283e-04, 2.656128e-05, 4.031816e-06, 7.222142e-12, 8.892751e-02
5.950000e-06, 1.316518e-07, 4.164199e-10, 4.719634e-04, 1.137680e-07, 8.291372e-11, 7.017344e-09, 3.816340e-01, 5.825683e-03, 1.811266e-07, 5.111843e-01, 1.312436e-02, 1.565872e-04, 2.713653e-05, 4.027833e-06, 7.790909e-12, 8.757153e-02
6.400000e-06, 1.294664e-07, 4.236821e-10, 4.749716e-04, 1.176891e-07, 8.645731e-11, 7.235958e-09, 3.866601e-01, 5.957190e-03, 1.853454e-07, 5.072505e-01, 1.314683e-02, 1.631187e-04, 2.767946e-05, 4.023809e-06, 8.363613e-12, 8.631515e-02
6.850000e-06, 1.274343e-07, 4.307974e-10, 4.777159e-04, 1.214544e-07, 8.996325e-11, 7.443411e-09, 3.913626e-01, 6.086569e-03, 1.894932e-07, 5.035493e-01, 1.317652e-02, 1.694433e-04, 2.819379e-05, 4.019786e-06, 8.940132e-12, 8.514526e-02
7.300000e-06, 1.255365e-07, 4.377669e-10, 4.802294e-04, 1.250780e-07, 9.343463e-11, 7.640791e-09, 3.957787e-01, 6.213930e-03, 1.935740e-07, 5.000551e-01, 1.321204e-02, 1.755783e-04, 2.868263e-05, 4.015792e-06, 9.520337e-12, 8.405121e-02
7.750000e-06, 1.237574e-07, 4.445933e-10, 4.825399e-04, 1.285719e-07, 9.687410e-11, 7.829030e-09, 3.999399e-01, 6.339376e-03, 1.975913e-07, 4.967465e-01, 1.325232e-02, 1.815389e-04, 2.914859e-05, 4.011847e-06, 1.010410e-11, 8.302419e-02
8.200000e-06, 1.220837e-07, 4.512801e-10, 4.846709e-04, 1.319466e-07, 1.002839e-10, 8.008936e-09, 4.038726e-01, 6.463000e-03, 2.015484e-07, 4.936050e-01, 1.329650e-02, 1.873381e-04, 2.959387e-05, 4.007963e-06, 1.069130e-11, 8.205685e-02
8.650000e-06, 1.205046e-07, 4.578313e-10, 4.866421e-04, 1.352113e-07, 1.036661e-10, 8.181211e-09, 4.075993e-01, 6.584889e-03, 2.054483e-07, 4.906148e-01, 1.334388e-02, 1.929875e-04, 3.002035e-05, 4.004146e-06, 1.128180e-11, 8.114297e-02
9.100000e-06, 1.190105e-07, 4.642515e-10, 4.884703e-04, 1.383740e-07, 1.070223e-10, 8.346471e-09, 4.111395e-01, 6.705123e-03, 2.092937e-07, 4.877624e-01, 1.339389e-02, 1.984972e-04, 3.042968e-05, 4.000400e-06, 1.187550e-11, 8.027728e-02
